Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Phoenix, AZ metro area",metro,12/9/2019,1/5/2020,1172,-0.119459053,-11.90%
12,2020,4 weeks,"Phoenix, AZ metro area",metro,12/16/2019,1/12/2020,1319,-0.134514436,-13.50%
19,2020,4 weeks,"Phoenix, AZ metro area",metro,12/23/2019,1/19/2020,1563,-0.142622052,-14.30%
26,2020,4 weeks,"Phoenix, AZ metro area",metro,12/30/2019,1/26/2020,1877,-0.126163873,-12.60%
33,2020,4 weeks,"Phoenix, AZ metro area",metro,1/6/2020,2/2/2020,2037,-0.117417678,-11.70%
40,2020,4 weeks,"Phoenix, AZ metro area",metro,1/13/2020,2/9/2020,2072,-0.099521947,-10.00%
47,2020,4 weeks,"Phoenix, AZ metro area",metro,1/20/2020,2/16/2020,2050,-0.090505768,-9.10%
54,2020,4 weeks,"Phoenix, AZ metro area",metro,1/27/2020,2/23/2020,2069,-0.055682337,-5.60%
61,2020,4 weeks,"Phoenix, AZ metro area",metro,2/3/2020,3/1/2020,2111,-0.035191956,-3.50%
68,2020,4 weeks,"Phoenix, AZ metro area",metro,2/10/2020,3/8/2020,2154,-0.034946237,-3.50%
75,2020,4 weeks,"Phoenix, AZ metro area",metro,2/17/2020,3/15/2020,2160,-0.041278296,-4.10%
82,2020,4 weeks,"Phoenix, AZ metro area",metro,2/24/2020,3/22/2020,2312,-0.005591398,-0.60%
89,2020,4 weeks,"Phoenix, AZ metro area",metro,3/2/2020,3/29/2020,2403,0.035775862,3.60%
96,2020,4 weeks,"Phoenix, AZ metro area",metro,3/9/2020,4/5/2020,2376,-0.004191115,-0.40%
103,2020,4 weeks,"Phoenix, AZ metro area",metro,3/16/2020,4/12/2020,2342,-0.035022662,-3.50%
110,2020,4 weeks,"Phoenix, AZ metro area",metro,3/23/2020,4/19/2020,2114,-0.122821577,-12.30%
117,2020,4 weeks,"Phoenix, AZ metro area",metro,3/30/2020,4/26/2020,1930,-0.198504983,-19.90%
124,2020,4 weeks,"Phoenix, AZ metro area",metro,4/6/2020,5/3/2020,1820,-0.211438475,-21.10%
131,2020,4 weeks,"Phoenix, AZ metro area",metro,4/13/2020,5/10/2020,1804,-0.198222222,-19.80%
138,2020,4 weeks,"Phoenix, AZ metro area",metro,4/20/2020,5/17/2020,1831,-0.194102113,-19.40%
145,2020,4 weeks,"Phoenix, AZ metro area",metro,4/27/2020,5/24/2020,1855,-0.172982613,-17.30%
152,2020,4 weeks,"Phoenix, AZ metro area",metro,5/4/2020,5/31/2020,1815,-0.151472651,-15.10%
159,2020,4 weeks,"Phoenix, AZ metro area",metro,5/11/2020,6/7/2020,1818,-0.137980085,-13.80%
166,2020,4 weeks,"Phoenix, AZ metro area",metro,5/18/2020,6/14/2020,1835,-0.105314481,-10.50%
173,2020,4 weeks,"Phoenix, AZ metro area",metro,5/25/2020,6/21/2020,1832,-0.084457771,-8.40%
180,2020,4 weeks,"Phoenix, AZ metro area",metro,6/1/2020,6/28/2020,1904,-0.056023798,-5.60%
187,2020,4 weeks,"Phoenix, AZ metro area",metro,6/8/2020,7/5/2020,1884,-0.009463722,-0.90%
194,2020,4 weeks,"Phoenix, AZ metro area",metro,6/15/2020,7/12/2020,1908,0.010058232,1.00%
201,2020,4 weeks,"Phoenix, AZ metro area",metro,6/22/2020,7/19/2020,1981,0.070232307,7.00%
208,2020,4 weeks,"Phoenix, AZ metro area",metro,6/29/2020,7/26/2020,2021,0.121531632,12.20%
215,2020,4 weeks,"Phoenix, AZ metro area",metro,7/6/2020,8/2/2020,2100,0.109350238,10.90%
222,2020,4 weeks,"Phoenix, AZ metro area",metro,7/13/2020,8/9/2020,2187,0.169518717,17.00%
229,2020,4 weeks,"Phoenix, AZ metro area",metro,7/20/2020,8/16/2020,2222,0.162133891,16.20%
236,2020,4 weeks,"Phoenix, AZ metro area",metro,7/27/2020,8/23/2020,2250,0.155624037,15.60%
243,2020,4 weeks,"Phoenix, AZ metro area",metro,8/3/2020,8/30/2020,2304,0.185795162,18.60%
250,2020,4 weeks,"Phoenix, AZ metro area",metro,8/10/2020,9/6/2020,2330,0.182141045,18.20%
257,2020,4 weeks,"Phoenix, AZ metro area",metro,8/17/2020,9/13/2020,2310,0.16725619,16.70%
264,2020,4 weeks,"Phoenix, AZ metro area",metro,8/24/2020,9/20/2020,2348,0.156080748,15.60%
271,2020,4 weeks,"Phoenix, AZ metro area",metro,8/31/2020,9/27/2020,2323,0.147727273,14.80%
278,2020,4 weeks,"Phoenix, AZ metro area",metro,9/7/2020,10/4/2020,2324,0.106666667,10.70%
285,2020,4 weeks,"Phoenix, AZ metro area",metro,9/14/2020,10/11/2020,2377,0.128679962,12.90%
292,2020,4 weeks,"Phoenix, AZ metro area",metro,9/21/2020,10/18/2020,2361,0.133461354,13.30%
299,2020,4 weeks,"Phoenix, AZ metro area",metro,9/28/2020,10/25/2020,2363,0.145974782,14.60%
306,2020,4 weeks,"Phoenix, AZ metro area",metro,10/5/2020,11/1/2020,2254,0.143002028,14.30%
313,2020,4 weeks,"Phoenix, AZ metro area",metro,10/12/2020,11/8/2020,2150,0.115723923,11.60%
320,2020,4 weeks,"Phoenix, AZ metro area",metro,10/19/2020,11/15/2020,2073,0.10442195,10.40%
327,2020,4 weeks,"Phoenix, AZ metro area",metro,10/26/2020,11/22/2020,1989,0.102549889,10.30%
334,2020,4 weeks,"Phoenix, AZ metro area",metro,11/2/2020,11/29/2020,1796,0.123904881,12.40%
341,2020,4 weeks,"Phoenix, AZ metro area",metro,11/9/2020,12/6/2020,1723,0.138797092,13.90%
348,2020,4 weeks,"Phoenix, AZ metro area",metro,11/16/2020,12/13/2020,1640,0.157374735,15.70%
355,2020,4 weeks,"Phoenix, AZ metro area",metro,11/23/2020,12/20/2020,1533,0.158730159,15.90%
362,2020,4 weeks,"Phoenix, AZ metro area",metro,11/30/2020,12/27/2020,1436,0.173202614,17.30%
3,2021,4 weeks,"Phoenix, AZ metro area",metro,12/7/2020,1/3/2021,1288,0.098976109,9.90%
10,2021,4 weeks,"Phoenix, AZ metro area",metro,12/14/2020,1/10/2021,1350,0.023502654,2.40%
17,2021,4 weeks,"Phoenix, AZ metro area",metro,12/21/2020,1/17/2021,1458,-0.067178503,-6.70%
24,2021,4 weeks,"Phoenix, AZ metro area",metro,12/28/2020,1/24/2021,1753,-0.066062866,-6.60%
31,2021,4 weeks,"Phoenix, AZ metro area",metro,1/4/2021,1/31/2021,1951,-0.042218949,-4.20%
38,2021,4 weeks,"Phoenix, AZ metro area",metro,1/11/2021,2/7/2021,1997,-0.036196911,-3.60%
45,2021,4 weeks,"Phoenix, AZ metro area",metro,1/18/2021,2/14/2021,2029,-0.010243902,-1.00%
52,2021,4 weeks,"Phoenix, AZ metro area",metro,1/25/2021,2/21/2021,2041,-0.013533108,-1.40%
59,2021,4 weeks,"Phoenix, AZ metro area",metro,2/1/2021,2/28/2021,2102,-0.004263382,-0.40%
66,2021,4 weeks,"Phoenix, AZ metro area",metro,2/8/2021,3/7/2021,2169,0.006963788,0.70%
73,2021,4 weeks,"Phoenix, AZ metro area",metro,2/15/2021,3/14/2021,2229,0.031944444,3.20%
80,2021,4 weeks,"Phoenix, AZ metro area",metro,2/22/2021,3/21/2021,2266,-0.019896194,-2.00%
87,2021,4 weeks,"Phoenix, AZ metro area",metro,3/1/2021,3/28/2021,2298,-0.043695381,-4.40%
94,2021,4 weeks,"Phoenix, AZ metro area",metro,3/8/2021,4/4/2021,2254,-0.051346801,-5.10%
101,2021,4 weeks,"Phoenix, AZ metro area",metro,3/15/2021,4/11/2021,2277,-0.027754056,-2.80%
108,2021,4 weeks,"Phoenix, AZ metro area",metro,3/22/2021,4/18/2021,2316,0.095553453,9.60%
115,2021,4 weeks,"Phoenix, AZ metro area",metro,3/29/2021,4/25/2021,2305,0.194300518,19.40%
122,2021,4 weeks,"Phoenix, AZ metro area",metro,4/5/2021,5/2/2021,2371,0.302747253,30.30%
129,2021,4 weeks,"Phoenix, AZ metro area",metro,4/12/2021,5/9/2021,2331,0.292128603,29.20%
136,2021,4 weeks,"Phoenix, AZ metro area",metro,4/19/2021,5/16/2021,2310,0.26160568,26.20%
143,2021,4 weeks,"Phoenix, AZ metro area",metro,4/26/2021,5/23/2021,2322,0.251752022,25.20%
150,2021,4 weeks,"Phoenix, AZ metro area",metro,5/3/2021,5/30/2021,2251,0.240220386,24.00%
157,2021,4 weeks,"Phoenix, AZ metro area",metro,5/10/2021,6/6/2021,2233,0.228272827,22.80%
164,2021,4 weeks,"Phoenix, AZ metro area",metro,5/17/2021,6/13/2021,2261,0.232152589,23.20%
171,2021,4 weeks,"Phoenix, AZ metro area",metro,5/24/2021,6/20/2021,2251,0.22871179,22.90%
178,2021,4 weeks,"Phoenix, AZ metro area",metro,5/31/2021,6/27/2021,2302,0.209033613,20.90%
185,2021,4 weeks,"Phoenix, AZ metro area",metro,6/7/2021,7/4/2021,2264,0.201698514,20.20%
192,2021,4 weeks,"Phoenix, AZ metro area",metro,6/14/2021,7/11/2021,2216,0.161425577,16.10%
199,2021,4 weeks,"Phoenix, AZ metro area",metro,6/21/2021,7/18/2021,2234,0.127713276,12.80%
206,2021,4 weeks,"Phoenix, AZ metro area",metro,6/28/2021,7/25/2021,2206,0.091538842,9.20%
213,2021,4 weeks,"Phoenix, AZ metro area",metro,7/5/2021,8/1/2021,2282,0.086666667,8.70%
220,2021,4 weeks,"Phoenix, AZ metro area",metro,7/12/2021,8/8/2021,2320,0.0608139,6.10%
227,2021,4 weeks,"Phoenix, AZ metro area",metro,7/19/2021,8/15/2021,2307,0.038253825,3.80%
234,2021,4 weeks,"Phoenix, AZ metro area",metro,7/26/2021,8/22/2021,2312,0.027555556,2.80%
241,2021,4 weeks,"Phoenix, AZ metro area",metro,8/2/2021,8/29/2021,2311,0.003038194,0.30%
248,2021,4 weeks,"Phoenix, AZ metro area",metro,8/9/2021,9/5/2021,2273,-0.024463519,-2.40%
255,2021,4 weeks,"Phoenix, AZ metro area",metro,8/16/2021,9/12/2021,2227,-0.035930736,-3.60%
262,2021,4 weeks,"Phoenix, AZ metro area",metro,8/23/2021,9/19/2021,2203,-0.061754685,-6.20%
269,2021,4 weeks,"Phoenix, AZ metro area",metro,8/30/2021,9/26/2021,2151,-0.074042187,-7.40%
276,2021,4 weeks,"Phoenix, AZ metro area",metro,9/6/2021,10/3/2021,2156,-0.072289157,-7.20%
283,2021,4 weeks,"Phoenix, AZ metro area",metro,9/13/2021,10/10/2021,2185,-0.080774085,-8.10%
290,2021,4 weeks,"Phoenix, AZ metro area",metro,9/20/2021,10/17/2021,2172,-0.080050826,-8.00%
297,2021,4 weeks,"Phoenix, AZ metro area",metro,9/27/2021,10/24/2021,2182,-0.076597545,-7.70%
304,2021,4 weeks,"Phoenix, AZ metro area",metro,10/4/2021,10/31/2021,2113,-0.062555457,-6.30%
311,2021,4 weeks,"Phoenix, AZ metro area",metro,10/11/2021,11/7/2021,2094,-0.026046512,-2.60%
318,2021,4 weeks,"Phoenix, AZ metro area",metro,10/18/2021,11/14/2021,2096,0.011095031,1.10%
325,2021,4 weeks,"Phoenix, AZ metro area",metro,10/25/2021,11/21/2021,2015,0.013071895,1.30%
332,2021,4 weeks,"Phoenix, AZ metro area",metro,11/1/2021,11/28/2021,1833,0.020601336,2.10%
339,2021,4 weeks,"Phoenix, AZ metro area",metro,11/8/2021,12/5/2021,1767,0.025536854,2.60%
346,2021,4 weeks,"Phoenix, AZ metro area",metro,11/15/2021,12/12/2021,1650,0.006097561,0.60%
353,2021,4 weeks,"Phoenix, AZ metro area",metro,11/22/2021,12/19/2021,1563,0.019569472,2.00%
360,2021,4 weeks,"Phoenix, AZ metro area",metro,11/29/2021,12/26/2021,1485,0.034122563,3.40%
2,2022,4 weeks,"Phoenix, AZ metro area",metro,12/6/2021,1/2/2022,1295,0.005434783,0.50%
9,2022,4 weeks,"Phoenix, AZ metro area",metro,12/13/2021,1/9/2022,1325,-0.018518519,-1.90%
16,2022,4 weeks,"Phoenix, AZ metro area",metro,12/20/2021,1/16/2022,1448,-0.006858711,-0.70%
23,2022,4 weeks,"Phoenix, AZ metro area",metro,12/27/2021,1/23/2022,1702,-0.029092983,-2.90%
30,2022,4 weeks,"Phoenix, AZ metro area",metro,1/3/2022,1/30/2022,1930,-0.010763711,-1.10%
37,2022,4 weeks,"Phoenix, AZ metro area",metro,1/10/2022,2/6/2022,2032,0.017526289,1.80%
44,2022,4 weeks,"Phoenix, AZ metro area",metro,1/17/2022,2/13/2022,2021,-0.003942829,-0.40%
51,2022,4 weeks,"Phoenix, AZ metro area",metro,1/24/2022,2/20/2022,2047,0.002939735,0.30%
58,2022,4 weeks,"Phoenix, AZ metro area",metro,1/31/2022,2/27/2022,2035,-0.031874405,-3.20%
65,2022,4 weeks,"Phoenix, AZ metro area",metro,2/7/2022,3/6/2022,2062,-0.049331489,-4.90%
72,2022,4 weeks,"Phoenix, AZ metro area",metro,2/14/2022,3/13/2022,2107,-0.054733064,-5.50%
79,2022,4 weeks,"Phoenix, AZ metro area",metro,2/21/2022,3/20/2022,2130,-0.060017652,-6.00%
86,2022,4 weeks,"Phoenix, AZ metro area",metro,2/28/2022,3/27/2022,2188,-0.047867711,-4.80%
93,2022,4 weeks,"Phoenix, AZ metro area",metro,3/7/2022,4/3/2022,2178,-0.033717835,-3.40%
100,2022,4 weeks,"Phoenix, AZ metro area",metro,3/14/2022,4/10/2022,2230,-0.020641195,-2.10%
107,2022,4 weeks,"Phoenix, AZ metro area",metro,3/21/2022,4/17/2022,2242,-0.031951641,-3.20%
114,2022,4 weeks,"Phoenix, AZ metro area",metro,3/28/2022,4/24/2022,2283,-0.009544469,-1.00%
121,2022,4 weeks,"Phoenix, AZ metro area",metro,4/4/2022,5/1/2022,2354,-0.00716997,-0.70%
128,2022,4 weeks,"Phoenix, AZ metro area",metro,4/11/2022,5/8/2022,2397,0.028314028,2.80%
135,2022,4 weeks,"Phoenix, AZ metro area",metro,4/18/2022,5/15/2022,2523,0.092207792,9.20%
142,2022,4 weeks,"Phoenix, AZ metro area",metro,4/25/2022,5/22/2022,2576,0.109388458,10.90%
149,2022,4 weeks,"Phoenix, AZ metro area",metro,5/2/2022,5/29/2022,2589,0.150155486,15.00%
156,2022,4 weeks,"Phoenix, AZ metro area",metro,5/9/2022,6/5/2022,2602,0.165248545,16.50%
163,2022,4 weeks,"Phoenix, AZ metro area",metro,5/16/2022,6/12/2022,2583,0.142414861,14.20%
170,2022,4 weeks,"Phoenix, AZ metro area",metro,5/23/2022,6/19/2022,2626,0.166592625,16.70%
177,2022,4 weeks,"Phoenix, AZ metro area",metro,5/30/2022,6/26/2022,2653,0.152476108,15.20%
184,2022,4 weeks,"Phoenix, AZ metro area",metro,6/6/2022,7/3/2022,2609,0.152385159,15.20%
191,2022,4 weeks,"Phoenix, AZ metro area",metro,6/13/2022,7/10/2022,2513,0.134025271,13.40%
198,2022,4 weeks,"Phoenix, AZ metro area",metro,6/20/2022,7/17/2022,2428,0.086839749,8.70%
205,2022,4 weeks,"Phoenix, AZ metro area",metro,6/27/2022,7/24/2022,2345,0.063009973,6.30%
212,2022,4 weeks,"Phoenix, AZ metro area",metro,7/4/2022,7/31/2022,2283,0.000438212,0.00%
219,2022,4 weeks,"Phoenix, AZ metro area",metro,7/11/2022,8/7/2022,2283,-0.015948276,-1.60%
226,2022,4 weeks,"Phoenix, AZ metro area",metro,7/18/2022,8/14/2022,2169,-0.059817945,-6.00%
233,2022,4 weeks,"Phoenix, AZ metro area",metro,7/25/2022,8/21/2022,2070,-0.10467128,-10.50%
240,2022,4 weeks,"Phoenix, AZ metro area",metro,8/1/2022,8/28/2022,1982,-0.142362614,-14.20%
247,2022,4 weeks,"Phoenix, AZ metro area",metro,8/8/2022,9/4/2022,1874,-0.175538935,-17.60%
254,2022,4 weeks,"Phoenix, AZ metro area",metro,8/15/2022,9/11/2022,1811,-0.186798383,-18.70%
261,2022,4 weeks,"Phoenix, AZ metro area",metro,8/22/2022,9/18/2022,1779,-0.192464821,-19.20%
268,2022,4 weeks,"Phoenix, AZ metro area",metro,8/29/2022,9/25/2022,1770,-0.177126918,-17.70%
275,2022,4 weeks,"Phoenix, AZ metro area",metro,9/5/2022,10/2/2022,1769,-0.179499072,-17.90%
282,2022,4 weeks,"Phoenix, AZ metro area",metro,9/12/2022,10/9/2022,1765,-0.19221968,-19.20%
289,2022,4 weeks,"Phoenix, AZ metro area",metro,9/19/2022,10/16/2022,1708,-0.213627993,-21.40%
296,2022,4 weeks,"Phoenix, AZ metro area",metro,9/26/2022,10/23/2022,1661,-0.238771769,-23.90%
303,2022,4 weeks,"Phoenix, AZ metro area",metro,10/3/2022,10/30/2022,1551,-0.265972551,-26.60%
310,2022,4 weeks,"Phoenix, AZ metro area",metro,10/10/2022,11/6/2022,1489,-0.288920726,-28.90%
317,2022,4 weeks,"Phoenix, AZ metro area",metro,10/17/2022,11/13/2022,1432,-0.316793893,-31.70%
324,2022,4 weeks,"Phoenix, AZ metro area",metro,10/24/2022,11/20/2022,1363,-0.323573201,-32.40%
331,2022,4 weeks,"Phoenix, AZ metro area",metro,10/31/2022,11/27/2022,1227,-0.330605565,-33.10%
338,2022,4 weeks,"Phoenix, AZ metro area",metro,11/7/2022,12/4/2022,1138,-0.355970572,-35.60%
345,2022,4 weeks,"Phoenix, AZ metro area",metro,11/14/2022,12/11/2022,1063,-0.355757576,-35.60%
352,2022,4 weeks,"Phoenix, AZ metro area",metro,11/21/2022,12/18/2022,1000,-0.360204734,-36.00%
359,2022,4 weeks,"Phoenix, AZ metro area",metro,11/28/2022,12/25/2022,975,-0.343434343,-34.30%
1,2023,4 weeks,"Phoenix, AZ metro area",metro,12/5/2022,1/1/2023,862,-0.334362934,-33.40%
8,2023,4 weeks,"Phoenix, AZ metro area",metro,12/12/2022,1/8/2023,914,-0.310188679,-31.00%
15,2023,4 weeks,"Phoenix, AZ metro area",metro,12/19/2022,1/15/2023,1037,-0.283839779,-28.40%
22,2023,4 weeks,"Phoenix, AZ metro area",metro,12/26/2022,1/22/2023,1241,-0.270857814,-27.10%
29,2023,4 weeks,"Phoenix, AZ metro area",metro,1/2/2023,1/29/2023,1511,-0.217098446,-21.70%
36,2023,4 weeks,"Phoenix, AZ metro area",metro,1/9/2023,2/5/2023,1617,-0.204232283,-20.40%
43,2023,4 weeks,"Phoenix, AZ metro area",metro,1/16/2023,2/12/2023,1678,-0.169717961,-17.00%
50,2023,4 weeks,"Phoenix, AZ metro area",metro,1/23/2023,2/19/2023,1696,-0.171470445,-17.10%
57,2023,4 weeks,"Phoenix, AZ metro area",metro,1/30/2023,2/26/2023,1642,-0.193120393,-19.30%
64,2023,4 weeks,"Phoenix, AZ metro area",metro,2/6/2023,3/5/2023,1626,-0.211445199,-21.10%
71,2023,4 weeks,"Phoenix, AZ metro area",metro,2/13/2023,3/12/2023,1563,-0.258186996,-25.80%
78,2023,4 weeks,"Phoenix, AZ metro area",metro,2/20/2023,3/19/2023,1530,-0.281690141,-28.20%
85,2023,4 weeks,"Phoenix, AZ metro area",metro,2/27/2023,3/26/2023,1542,-0.295246801,-29.50%
92,2023,4 weeks,"Phoenix, AZ metro area",metro,3/6/2023,4/2/2023,1518,-0.303030303,-30.30%
99,2023,4 weeks,"Phoenix, AZ metro area",metro,3/13/2023,4/9/2023,1531,-0.313452915,-31.30%
106,2023,4 weeks,"Phoenix, AZ metro area",metro,3/20/2023,4/16/2023,1577,-0.296610169,-29.70%
113,2023,4 weeks,"Phoenix, AZ metro area",metro,3/27/2023,4/23/2023,1600,-0.299167762,-29.90%
120,2023,4 weeks,"Phoenix, AZ metro area",metro,4/3/2023,4/30/2023,1581,-0.32837723,-32.80%
127,2023,4 weeks,"Phoenix, AZ metro area",metro,4/10/2023,5/7/2023,1594,-0.335002086,-33.50%
134,2023,4 weeks,"Phoenix, AZ metro area",metro,4/17/2023,5/14/2023,1571,-0.377328577,-37.70%
141,2023,4 weeks,"Phoenix, AZ metro area",metro,4/24/2023,5/21/2023,1537,-0.403338509,-40.30%
148,2023,4 weeks,"Phoenix, AZ metro area",metro,5/1/2023,5/28/2023,1527,-0.410196987,-41.00%
155,2023,4 weeks,"Phoenix, AZ metro area",metro,5/8/2023,6/4/2023,1464,-0.43735588,-43.70%
162,2023,4 weeks,"Phoenix, AZ metro area",metro,5/15/2023,6/11/2023,1444,-0.440960124,-44.10%
169,2023,4 weeks,"Phoenix, AZ metro area",metro,5/22/2023,6/18/2023,1428,-0.456207159,-45.60%
176,2023,4 weeks,"Phoenix, AZ metro area",metro,5/29/2023,6/25/2023,1419,-0.465133811,-46.50%
183,2023,4 weeks,"Phoenix, AZ metro area",metro,6/5/2023,7/2/2023,1425,-0.453813722,-45.40%
190,2023,4 weeks,"Phoenix, AZ metro area",metro,6/12/2023,7/9/2023,1376,-0.452447274,-45.20%
197,2023,4 weeks,"Phoenix, AZ metro area",metro,6/19/2023,7/16/2023,1365,-0.437808896,-43.80%
204,2023,4 weeks,"Phoenix, AZ metro area",metro,6/26/2023,7/23/2023,1351,-0.423880597,-42.40%
211,2023,4 weeks,"Phoenix, AZ metro area",metro,7/3/2023,7/30/2023,1358,-0.405168638,-40.50%
218,2023,4 weeks,"Phoenix, AZ metro area",metro,7/10/2023,8/6/2023,1417,-0.379325449,-37.90%
225,2023,4 weeks,"Phoenix, AZ metro area",metro,7/17/2023,8/13/2023,1426,-0.342554172,-34.30%
232,2023,4 weeks,"Phoenix, AZ metro area",metro,7/24/2023,8/20/2023,1472,-0.288888889,-28.90%
239,2023,4 weeks,"Phoenix, AZ metro area",metro,7/31/2023,8/27/2023,1493,-0.246720484,-24.70%
246,2023,4 weeks,"Phoenix, AZ metro area",metro,8/7/2023,9/3/2023,1488,-0.205976521,-20.60%
253,2023,4 weeks,"Phoenix, AZ metro area",metro,8/14/2023,9/10/2023,1509,-0.166758697,-16.70%
260,2023,4 weeks,"Phoenix, AZ metro area",metro,8/21/2023,9/17/2023,1516,-0.147835863,-14.80%
267,2023,4 weeks,"Phoenix, AZ metro area",metro,8/28/2023,9/24/2023,1543,-0.128248588,-12.80%
274,2023,4 weeks,"Phoenix, AZ metro area",metro,9/4/2023,10/1/2023,1575,-0.109666478,-11.00%
281,2023,4 weeks,"Phoenix, AZ metro area",metro,9/11/2023,10/8/2023,1602,-0.092351275,-9.20%
288,2023,4 weeks,"Phoenix, AZ metro area",metro,9/18/2023,10/15/2023,1620,-0.051522248,-5.20%
295,2023,4 weeks,"Phoenix, AZ metro area",metro,9/25/2023,10/22/2023,1624,-0.022275738,-2.20%
302,2023,4 weeks,"Phoenix, AZ metro area",metro,10/2/2023,10/29/2023,1603,0.033526757,3.40%
309,2023,4 weeks,"Phoenix, AZ metro area",metro,10/9/2023,11/5/2023,1577,0.059100067,5.90%
316,2023,4 weeks,"Phoenix, AZ metro area",metro,10/16/2023,11/12/2023,1552.367837,0.084055752,8.40%
323,2023,4 weeks,"Phoenix, AZ metro area",metro,10/23/2023,11/19/2023,1523.38738,0.117672326,11.80%
330,2023,4 weeks,"Phoenix, AZ metro area",metro,10/30/2023,11/26/2023,1374.686763,0.12036411,12.00%
337,2023,4 weeks,"Phoenix, AZ metro area",metro,11/6/2023,12/3/2023,1373.803384,0.207208597,20.70%
